trial_number,state,value,C,class_weight,precision_mean,recall_mean,f1_mean,roc_auc_mean
12,1,0.8941655359565807,0.001189700305405305,balanced,0.10969640381405088,0.8941655359565807,0.19540817818591003,0.8270596489839438
16,1,0.8941655359565807,0.0011563102973836301,balanced,0.1090844505960709,0.8941655359565807,0.19443752137927595,0.8269078767408325
13,1,0.8941655359565807,0.0010981835631662421,balanced,0.10849860270058458,0.8941655359565807,0.19350493158703438,0.8266120219341749
11,1,0.8941655359565807,0.0010907785690006091,balanced,0.1084361017240068,0.8941655359565807,0.19340541742936843,0.8265575983651763
18,1,0.8591889039650233,0.003972005324312388,balanced,0.11977704984450586,0.8591889039650233,0.21023500309214596,0.8314645942416267
7,1,0.8541383989145183,0.004982752357076452,balanced,0.12116224623684341,0.8541383989145183,0.21221285092249756,0.8318288191305152
10,1,0.8340871400572895,0.010916771197512777,balanced,0.12343019593840963,0.8340871400572895,0.21502938438838237,0.83258576846478
5,1,0.8340871400572895,0.008260808399079604,balanced,0.12179618095574492,0.8340871400572895,0.21254673490541398,0.8324055739332942
17,1,0.8140358812000604,0.02048127053058169,balanced,0.12570146883299363,0.8140358812000604,0.21776918417640279,0.8326253095583939
14,1,0.8040102517714457,0.031128380037117098,balanced,0.12571593116835442,0.8040102517714457,0.2174292932158004,0.8325514012404321
6,1,0.7989597467209407,0.14445251022763064,balanced,0.1297225455120192,0.7989597467209407,0.22319868437024012,0.8317793951627109
19,1,0.7989597467209407,0.04864907260669043,balanced,0.1268178509220212,0.7989597467209407,0.21888652174484816,0.8324187941800774
15,1,0.7787577265189206,68.8148506855693,balanced,0.12759202286612206,0.7787577265189206,0.21924703439112833,0.830689986295853
3,1,0.7787577265189206,3.4702669886504163,balanced,0.12748008080044654,0.7787577265189206,0.2190828463326521,0.8307209205826928
0,1,0.0,0.0745934328572655,,0.0,0.0,0.0,0.8327589780126554
8,1,0.0,0.19069966103000435,,0.0,0.0,0.0,0.8324407918692529
9,1,0.0,0.37253938395788866,,0.0,0.0,0.0,0.8322300313637611
1,1,0.0,0.9846738873614566,,0.0,0.0,0.0,0.8319251091911178
4,1,0.0,14.528246637516036,,0.0,0.0,0.0,0.8315549247467523
2,1,0.0,0.0019517224641449498,,0.0,0.0,0.0,0.7891168138218193
