model,search_type,refit_metric,best_score,best_params,precision_mean,recall_mean,f1_mean,roc_auc_mean
logistic_regression,OptunaStudy,recall,0.8941655359565807,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 0.0010907785690006091, 'classifier__class_weight': 'balanced'}",0.1084361017240068,0.8941655359565807,0.19340541742936843,0.8265575983651763
logistic_regression,GridSearchCV,recall,0.8340871400572895,"{'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.12279104164741915,0.8340871400572895,0.21405905789506433,0.8324301694096178
