feature,importance
0,1.3617548400053654
3,0.22189935843997613
19,0.19815259353163853
15,0.18642780866153114
9,0.14705387699652808
6,0.1428640941565409
18,0.13071882246185676
5,0.11765480384531388
8,0.1144864305858752
12,0.08791471182423653
16,0.07511249892087614
13,0.07254362488587539
10,0.062493793433014075
20,0.04402806978889487
14,0.03301441469947784
4,0.030371525796036917
17,0.023303038622195085
11,0.005573762739800239
7,0.0010214095805514422
1,0.0
2,0.0
