model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
logistic_regression,0.13077118605414023,0.009226716851482145,0.8029387755102041,0.06046012657492587,0.22488881343109482,0.015831025034159393,0.8342071481352873,0.024555571998304066
svc,0.12166541715859573,0.01560699193040136,0.7023673469387754,0.07561625206270142,0.20737701830718472,0.025882952059402504,0.7983827220914123,0.025468819938213344
random_forest,0.19833333333333333,0.14244882121894398,0.020081632653061225,0.014143313595131414,0.03613684322858037,0.025285770120217498,0.7718742543164475,0.034031578946161184
