model,precision_mean_baseline,recall_mean_baseline,f1_mean_baseline,roc_auc_mean_baseline,precision_mean_tuned,recall_mean_tuned,f1_mean_tuned,roc_auc_mean_tuned
logistic_regression,0.1307711860541402,0.8029387755102041,0.2248888134310948,0.8342071481352873,0.1262616974758239,0.8313253012048193,0.21921166776241804,0.8363733912963527
svc,0.1216654171585957,0.7023673469387754,0.2073770183071847,0.7983827220914123,0.12972868907096813,0.8112449799196787,0.22363548026578825,0.8289869464835832
random_forest,0.1983333333333333,0.0200816326530612,0.0361368432285803,0.7718742543164475,0.13077927441932144,0.7630522088353414,0.22310107922579167,0.826019860739368
